Driver Name,Score_season_2020,Score_season_2021,Score_season_2022,Score_season_2023,Score_season_2024,Score_round_1,Score_round_2,Score_round_3,Score_round_4,Score_round_5,Score_round_6,Score_round_7,Score_round_8,Score_round_9,Score_round_10,Score_round_11,Score_round_12,Score_round_13,Score_round_14,Score_round_15,Score_round_16,Stop_times_round_1,duration_round_1,Stop_times_round_2,duration_round_2,Stop_times_round_3,duration_round_3,Stop_times_round_4,duration_round_4,Stop_times_round_5,duration_round_5,Stop_times_round_6,duration_round_6,Stop_times_round_7,duration_round_7,Stop_times_round_8,duration_round_8,Stop_times_round_9,duration_round_9,Stop_times_round_10,duration_round_10,Stop_times_round_11,duration_round_11,Stop_times_round_12,duration_round_12,Stop_times_round_13,duration_round_13,Stop_times_round_14,duration_round_14,Stop_times_round_15,duration_round_15,Stop_times_round_16,duration_round_16,Contructor
aitken,0.0,74.0,37.0,60.0,26.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,25.688,None
hamilton,347.0,387.5,240.0,234.0,208.0,13.6,11.4,16.2,12.0,8.8,11.2,14.6,12.0,14.0,17.2,16.4,17.9,17.4,11.6,16.4,10.0,1.8,23.2028,1.2,24.5974,1.2,201.0276,1.2,336.92859999999996,1.4,23.256400000000003,1.6,21.941200000000002,1.2,26.038,11.8,321.46320000000003,2.0,305.63539999999995,1.0,1037.525,1.2,307.8004,1.5,29.352999999999998,2.0,22.7412,1.25,24.109499999999997,1.8,25.5518,1.25,23.9905,mercedes
alonso,62.0,81.0,81.0,206.0,62.0,4.75,6.5,5.75,5.0,5.5,7.5,4.0,6.5,5.25,5.5,3.75,5.5,7.75,5.0,4.25,1.0,1.5,25.0675,1.0,25.35375,1.25,246.2365,1.3333333333333333,22.72966666666667,1.25,22.68975,1.75,22.54675,1.5,27.07575,1.25,613.77425,1.5,22.187,1.0,1291.229,1.75,29.19325,1.0,29.650000000000002,1.5,20.7525,1.25,24.156000000000002,1.25,30.94775,1.6666666666666667,25.970333333333333,aston_martin
zhou,62.0,74.0,6.0,6.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333,25.436333333333334,1.6666666666666667,27.588666666666665,1.6666666666666667,331.0316666666667,1.6666666666666667,27.034333333333336,1.0,23.079,1.3333333333333333,23.795333333333332,1.3333333333333333,26.242333333333335,24.333333333333332,24.959000000000003,1.3333333333333333,24.751,2.0,28.448500000000003,1.3333333333333333,22.918333333333333,2.3333333333333335,34.653333333333336,1.6666666666666667,21.578333333333337,2.0,24.6615,2.0,26.038,1.3333333333333333,25.531666666666666,sauber
kubica,62.0,0.0,37.0,60.0,26.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,19.708,1.0,24.501,,,,,None
piastri,62.0,74.0,37.0,97.0,268.0,2.0,6.0,8.0,2.0,2.0,0.5,6.0,9.0,5.0,9.0,14.0,6.0,13.5,9.0,9.0,16.5,1.0,25.45,1.0,26.4805,1.5,476.537,1.5,22.161,1.0,22.439,1.5,28.13,1.0,26.07,1.5,1190.5405,1.5,20.4,1.0,25.439500000000002,1.5,21.504,1.0,29.541,1.0,21.641,1.5,27.211,1.0,25.169,1.5,24.5625,mclaren
vettel,33.0,43.0,37.0,60.0,26.0,0.5,0.0,2.6666666666666665,1.6666666666666667,3.3333333333333335,8.0,1.0,2.6666666666666665,0.3333333333333333,0.6666666666666666,0.0,2.0,0.3333333333333333,6.333333333333333,0.0,0.0,1.5,23.682000000000002,3.0,39.502,2.0,21.814999999999998,1.3333333333333333,27.298666666666666,1.0,24.132333333333335,1.3333333333333333,19.767,1.0,26.33866666666667,1.0,20.8975,2.3333333333333335,498.0116666666666,1.6666666666666667,29.128666666666664,1.6666666666666667,29.119999999999994,1.0,31.6685,1.6666666666666667,23.339,1.6666666666666667,24.850000000000005,1.3333333333333333,401.8133333333333,2.0,25.796999999999997,None
gasly,75.0,110.0,23.0,62.0,26.0,1.6,2.4,0.6,1.4,2.4,4.6,2.2,7.2,1.0,0.8,4.0,2.8,5.4,0.4,3.6,2.6,1.8,24.7998,1.5,24.524,1.2,202.2594,1.4,338.7692,1.4,26.774,1.8,23.5682,1.4,27.2548,1.5,987.14675,2.0,22.67125,1.6,435.28600000000006,2.0,28.102249999999998,1.0,29.612333333333336,1.25,20.44025,2.0,23.339999999999996,1.2,252.5942,1.4,25.5908,alpine
stroll,75.0,34.0,18.0,74.0,24.0,2.0,2.0,6.4,1.8,2.6,2.4,2.6,4.2,1.8,0.8,0.25,1.8,0.2,1.6,0.2,3.4,1.5,25.3145,1.25,389.42425,1.6,202.18919999999997,1.4,25.8668,1.4,23.2168,1.75,23.267249999999997,1.4,28.155399999999997,10.6,322.4706,1.4,305.4464,1.75,27.19675,1.3333333333333333,21.744333333333334,1.25,32.936749999999996,1.6,24.2486,1.2,24.1204,1.5,309.7115,1.4,26.631400000000003,aston_martin
hulkenberg,10.0,74.0,0.0,9.0,35.0,0.0,0.3333333333333333,4.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.6666666666666667,29.967333333333332,1.0,21.342333333333332,1.5,472.2355,1.5,24.185000000000002,1.6666666666666667,24.947333333333333,1.5,27.490499999999997,1.5,26.503,2.0,24.2,2.0,23.2795,1.5,26.3625,2.0,22.151666666666667,1.5,27.325,2.0,22.472,2.0,23.798000000000002,1.0,28.558,2.0,30.118000000000002,haas
kvyat,32.0,74.0,37.0,60.0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,4.0,0.0,0.0,12.0,0.0,0.0,6.0,2.0,21.622,1.0,22.197,2.0,22.685,,,1.0,28.036,2.0,22.079,1.0,23.769,1.0,25.92,2.0,1445.955,1.0,29.662,1.0,30.826,2.0,32.943,2.0,29.809,1.0,23.417,2.0,37.317,2.0,24.232,None
giovinazzi,4.0,3.0,37.0,60.0,26.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,2.0,23.511499999999998,1.0,26.983,1.5,22.7835,1.5,25.613,1.0,26.2065,2.0,20.9935,1.0,30.586,1.5,771.5175,2.0,27.122,1.5,28.951999999999998,2.0,739.5604999999999,1.0,26.473,1.5,24.894,1.5,27.9915,1.0,592.4934999999999,1.5,23.850499999999997,None
